"id","hexID","X210","X212","X213","X214","X216","X219","X221","X224","X225","X226","X227","X228","X229","X233","X236","X237","X240","X245","X246","X248","X251","X252","X255","X256","X257","X258","X259","X261","X262","rel_210","rel_212","rel_213","rel_214","rel_216","rel_219","rel_221","rel_224","rel_225","rel_226","rel_227","rel_228","rel_229","rel_233","rel_236","rel_237","rel_240","rel_245","rel_246","rel_248","rel_251","rel_252","rel_255","rel_256","rel_257","rel_258","rel_259","rel_261","rel_262","relMax","absMax","maxLevel","total","antwort"
"ID46","ID46",46,0,8,0,1,2,0,0,1,0,0,0,0,0,0,1,4,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0.347826086956522,0,0.0434782608695652,0.0869565217391304,0,0,0.0434782608695652,0,0,0,0,0,0,0.0434782608695652,0.173913043478261,0,0,0,0.0869565217391304,0.0434782608695652,0,0,0,0,0,0.0434782608695652,0,0.0869565217391304,0.347826086956522,8,"212",23,"Anschnitt"
"ID47","ID47",47,0,9,0,0,2,0,0,0,0,0,1,0,0,0,1,11,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0.310344827586207,0,0,0.0689655172413793,0,0,0,0,0,0.0344827586206897,0,0,0,0.0344827586206897,0.379310344827586,0.0344827586206897,0,0,0.0689655172413793,0,0,0,0,0,0,0,0.0344827586206897,0.0344827586206897,0.379310344827586,11,"237",29,"Kurste / Krust / Krüstchen"
"ID48","ID48",48,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.217391304347826,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0.130434782608696,0.521739130434783,0,0,0,0.0434782608695652,0,0,0,0,0,0,0.0434782608695652,0,0,0.521739130434783,12,"237",23,"Kurste / Krust / Krüstchen"
"ID49","ID49",49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.571428571428571,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,4,"237",7,"Kurste / Krust / Krüstchen"
"ID50","ID50",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"262",1,"Das Ende"
"ID51","ID51",51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,1,"212",3,"Anschnitt"
"ID52","ID52",52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,1,"212",3,"Anschnitt"
"ID53","ID53",53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,"233",2,"Scherz / Scherzel / Scherzerl / Scherz(e)l"
"ID54","ID54",54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,"262",4,"Das Ende"
"ID55","ID55",55,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.416666666666667,0.416666666666667,5,"262",12,"Das Ende"
