"id","hexID","X9","X11","X12","X13","X14","X15","X16","rel_9","rel_11","rel_12","rel_13","rel_14","rel_15","rel_16","relMax","absMax","maxLevel","total","antwort"
"ID158","ID158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID159","ID159",159,7,0,0,13,0,0,15,0.2,0,0,0.371428571428571,0,0,0.428571428571429,0.428571428571429,15,"16",35,"Neuner"
"ID160","ID160",160,7,3,0,11,1,1,15,0.184210526315789,0.0789473684210526,0,0.289473684210526,0.0263157894736842,0.0263157894736842,0.394736842105263,0.394736842105263,15,"16",38,"Neuner"
"ID161","ID161",161,18,7,2,55,0,0,17,0.181818181818182,0.0707070707070707,0.0202020202020202,0.555555555555556,0,0,0.171717171717172,0.555555555555556,55,"13",99,"Jause"
"ID162","ID162",162,13,3,2,53,0,1,6,0.166666666666667,0.0384615384615385,0.0256410256410256,0.67948717948718,0,0.0128205128205128,0.0769230769230769,0.67948717948718,53,"13",78,"Jause"
"ID163","ID163",163,4,2,2,20,0,0,0,0.142857142857143,0.0714285714285714,0.0714285714285714,0.714285714285714,0,0,0,0.714285714285714,20,"13",28,"Jause"
"ID164","ID164",164,7,4,1,35,0,0,0,0.148936170212766,0.0851063829787234,0.0212765957446809,0.74468085106383,0,0,0,0.74468085106383,35,"13",47,"Jause"
"ID165","ID165",165,7,3,0,42,1,0,1,0.12962962962963,0.0555555555555556,0,0.777777777777778,0.0185185185185185,0,0.0185185185185185,0.777777777777778,42,"13",54,"Jause"
"ID166","ID166",166,55,27,4,194,0,1,1,0.195035460992908,0.0957446808510638,0.0141843971631206,0.687943262411348,0,0.00354609929078014,0.00354609929078014,0.687943262411348,194,"13",282,"Jause"
"ID167","ID167",167,19,6,5,79,0,0,0,0.174311926605505,0.055045871559633,0.0458715596330275,0.724770642201835,0,0,0,0.724770642201835,79,"13",109,"Jause"
"ID168","ID168",168,19,4,0,30,0,0,0,0.358490566037736,0.0754716981132075,0,0.566037735849057,0,0,0,0.566037735849057,30,"13",53,"Jause"
"ID169","ID169",169,23,10,3,70,0,0,1,0.214953271028037,0.0934579439252336,0.0280373831775701,0.654205607476635,0,0,0.00934579439252336,0.654205607476635,70,"13",107,"Jause"
"ID170","ID170",170,6,6,1,22,0,1,0,0.166666666666667,0.166666666666667,0.0277777777777778,0.611111111111111,0,0.0277777777777778,0,0.611111111111111,22,"13",36,"Jause"
"ID171","ID171",171,43,18,2,117,0,0,0,0.238888888888889,0.1,0.0111111111111111,0.65,0,0,0,0.65,117,"13",180,"Jause"
"ID172","ID172",172,4,5,0,21,0,0,0,0.133333333333333,0.166666666666667,0,0.7,0,0,0,0.7,21,"13",30,"Jause"
"ID173","ID173",173,6,3,2,26,0,0,0,0.162162162162162,0.0810810810810811,0.0540540540540541,0.702702702702703,0,0,0,0.702702702702703,26,"13",37,"Jause"
"ID174","ID174",174,40,18,1,106,1,0,0,0.240963855421687,0.108433734939759,0.00602409638554217,0.63855421686747,0.00602409638554217,0,0,0.63855421686747,106,"13",166,"Jause"
"ID175","ID175",175,1,1,1,19,0,0,0,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.863636363636364,0,0,0,0.863636363636364,19,"13",22,"Jause"
"ID176","ID176",176,12,18,0,100,0,1,0,0.0916030534351145,0.137404580152672,0,0.763358778625954,0,0.00763358778625954,0,0.763358778625954,100,"13",131,"Jause"
"ID177","ID177",177,12,7,1,56,0,0,0,0.157894736842105,0.0921052631578947,0.0131578947368421,0.736842105263158,0,0,0,0.736842105263158,56,"13",76,"Jause"
"ID178","ID178",178,25,12,2,139,0,1,0,0.139664804469274,0.0670391061452514,0.0111731843575419,0.776536312849162,0,0.00558659217877095,0,0.776536312849162,139,"13",179,"Jause"
"ID179","ID179",179,4,2,0,19,0,0,0,0.16,0.08,0,0.76,0,0,0,0.76,19,"13",25,"Jause"
"ID180","ID180",180,12,4,0,25,0,0,0,0.292682926829268,0.0975609756097561,0,0.609756097560976,0,0,0,0.609756097560976,25,"13",41,"Jause"
"ID181","ID181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID182","ID182",182,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,"12",1,"Brotzeit"
"ID183","ID183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID184","ID184",184,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,4,"15",4,"Znüni"
