"id","hexID","X22","X24","X25","X26","X27","X28","X29","X30","X32","X33","rel_22","rel_24","rel_25","rel_26","rel_27","rel_28","rel_29","rel_30","rel_32","rel_33","relMax","absMax","maxLevel","total","antwort"
"ID97","ID97",97,1,0,0,0,0,0,18,2,0,0,0.0476190476190476,0,0,0,0,0,0.857142857142857,0.0952380952380952,0,0,0.857142857142857,18,"29",21,"die Palatschinke"
"ID98","ID98",98,1,0,0,2,1,0,73,8,0,0,0.0117647058823529,0,0,0.0235294117647059,0.0117647058823529,0,0.858823529411765,0.0941176470588235,0,0,0.858823529411765,73,"29",85,"die Palatschinke"
"ID99","ID99",99,4,0,0,16,10,0,508,88,1,0,0.00637958532695375,0,0,0.025518341307815,0.0159489633173844,0,0.810207336523126,0.140350877192982,0.00159489633173844,0,0.810207336523126,508,"29",627,"die Palatschinke"
"ID100","ID100",100,1,0,0,5,2,0,110,23,0,0,0.00709219858156028,0,0,0.0354609929078014,0.0141843971631206,0,0.780141843971631,0.163120567375887,0,0,0.780141843971631,110,"29",141,"die Palatschinke"
"ID101","ID101",101,2,0,0,3,1,0,89,16,0,0,0.018018018018018,0,0,0.027027027027027,0.00900900900900901,0,0.801801801801802,0.144144144144144,0,0,0.801801801801802,89,"29",111,"die Palatschinke"
"ID102","ID102",102,5,0,0,18,13,0,631,93,2,0,0.00656167979002625,0,0,0.0236220472440945,0.0170603674540682,0,0.828083989501312,0.122047244094488,0.0026246719160105,0,0.828083989501312,631,"29",762,"die Palatschinke"
"ID103","ID103",103,1,0,0,0,2,0,25,4,0,0,0.03125,0,0,0,0.0625,0,0.78125,0.125,0,0,0.78125,25,"29",32,"die Palatschinke"
"ID104","ID104",104,0,0,0,1,3,0,68,15,0,0,0,0,0,0.0114942528735632,0.0344827586206897,0,0.781609195402299,0.172413793103448,0,0,0.781609195402299,68,"29",87,"die Palatschinke"
"ID105","ID105",105,1,0,0,1,0,0,26,2,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0.866666666666667,0.0666666666666667,0,0,0.866666666666667,26,"29",30,"die Palatschinke"
"ID106","ID106",106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"27",1,"die Om(e)lette"
"ID107","ID107",107,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0.666666666666667,2,"27",3,"die Om(e)lette"
"ID108","ID108",108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"27",1,"die Om(e)lette"
"ID109","ID109",109,1,0,0,0,2,0,0,0,1,0,0.25,0,0,0,0.5,0,0,0,0.25,0,0.5,2,"27",4,"die Om(e)lette"
"ID110","ID110",110,3,0,1,3,3,0,1,0,8,0,0.157894736842105,0,0.0526315789473684,0.157894736842105,0.157894736842105,0,0.0526315789473684,0,0.421052631578947,0,0.421052631578947,8,"32",19,"Crêpe"
"ID111","ID111",111,17,5,0,12,14,0,0,0,19,0,0.253731343283582,0.0746268656716418,0,0.17910447761194,0.208955223880597,0,0,0,0.283582089552239,0,0.283582089552239,19,"32",67,"Crêpe"
"ID112","ID112",112,1,0,0,5,27,0,0,0,4,0,0.027027027027027,0,0,0.135135135135135,0.72972972972973,0,0,0,0.108108108108108,0,0.72972972972973,27,"27",37,"die Om(e)lette"
"ID113","ID113",113,7,0,0,60,375,0,0,0,54,0,0.0141129032258065,0,0,0.120967741935484,0.756048387096774,0,0,0,0.108870967741935,0,0.756048387096774,375,"27",496,"die Om(e)lette"
"ID114","ID114",114,6,0,1,17,67,0,0,0,11,0,0.0588235294117647,0,0.00980392156862745,0.166666666666667,0.656862745098039,0,0,0,0.107843137254902,0,0.656862745098039,67,"27",102,"die Om(e)lette"
"ID115","ID115",115,2,0,0,9,59,0,0,0,11,0,0.0246913580246914,0,0,0.111111111111111,0.728395061728395,0,0,0,0.135802469135802,0,0.728395061728395,59,"27",81,"die Om(e)lette"
"ID116","ID116",116,4,0,0,5,25,0,0,0,8,0,0.0952380952380952,0,0,0.119047619047619,0.595238095238095,0,0,0,0.19047619047619,0,0.595238095238095,25,"27",42,"die Om(e)lette"
"ID117","ID117",117,0,1,0,5,8,0,0,0,0,0,0,0.0714285714285714,0,0.357142857142857,0.571428571428571,0,0,0,0,0,0.571428571428571,8,"27",14,"die Om(e)lette"
"ID118","ID118",118,1,0,0,1,5,1,0,0,2,0,0.1,0,0,0.1,0.5,0.1,0,0,0.2,0,0.5,5,"27",10,"die Om(e)lette"
"ID119","ID119",119,4,0,1,2,2,0,0,1,1,0,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0,0.363636363636364,4,"22",11,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID120","ID120",120,0,0,0,1,3,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0.75,3,"27",4,"die Om(e)lette"
"ID121","ID121",121,0,0,0,3,2,0,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0.6,3,"26",5,"das Om(e)lett"
"ID122","ID122",122,3,0,0,2,7,0,0,0,2,0,0.214285714285714,0,0,0.142857142857143,0.5,0,0,0,0.142857142857143,0,0.5,7,"27",14,"die Om(e)lette"
"ID123","ID123",123,1,0,0,3,10,0,0,0,0,0,0.0714285714285714,0,0,0.214285714285714,0.714285714285714,0,0,0,0,0,0.714285714285714,10,"27",14,"die Om(e)lette"
"ID124","ID124",124,2,1,0,12,26,0,0,0,3,0,0.0454545454545455,0.0227272727272727,0,0.272727272727273,0.590909090909091,0,0,0,0.0681818181818182,0,0.590909090909091,26,"27",44,"die Om(e)lette"
"ID125","ID125",125,1,1,0,11,25,0,0,0,3,0,0.024390243902439,0.024390243902439,0,0.268292682926829,0.609756097560976,0,0,0,0.0731707317073171,0,0.609756097560976,25,"27",41,"die Om(e)lette"
"ID126","ID126",126,1,0,0,8,13,0,0,1,2,0,0.04,0,0,0.32,0.52,0,0,0.04,0.08,0,0.52,13,"27",25,"die Om(e)lette"
"ID127","ID127",127,6,0,0,0,8,0,0,0,1,0,0.4,0,0,0,0.533333333333333,0,0,0,0.0666666666666667,0,0.533333333333333,8,"27",15,"die Om(e)lette"
"ID128","ID128",128,1,0,0,0,0,0,1,0,1,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,1,"22",3,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID129","ID129",129,0,0,0,1,6,0,1,0,1,0,0,0,0,0.111111111111111,0.666666666666667,0,0.111111111111111,0,0.111111111111111,0,0.666666666666667,6,"27",9,"die Om(e)lette"
"ID130","ID130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID131","ID131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID132","ID132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID133","ID133",133,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,"26",5,"das Om(e)lett"
"ID134","ID134",134,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,1,"26",2,"das Om(e)lett"
"ID135","ID135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID136","ID136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID137","ID137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID138","ID138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID139","ID139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID140","ID140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID141","ID141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID142","ID142",142,0,0,0,20,3,0,1,3,0,0,0,0,0,0.740740740740741,0.111111111111111,0,0.037037037037037,0.111111111111111,0,0,0.740740740740741,20,"26",27,"das Om(e)lett"
"ID143","ID143",143,0,0,0,9,6,0,8,6,0,0,0,0,0,0.310344827586207,0.206896551724138,0,0.275862068965517,0.206896551724138,0,0,0.310344827586207,9,"26",29,"das Om(e)lett"
"ID144","ID144",144,0,0,0,14,3,0,12,6,0,0,0,0,0,0.4,0.0857142857142857,0,0.342857142857143,0.171428571428571,0,0,0.4,14,"26",35,"das Om(e)lett"
"ID145","ID145",145,2,0,0,4,5,0,8,6,0,0,0.08,0,0,0.16,0.2,0,0.32,0.24,0,0,0.32,8,"29",25,"die Palatschinke"
"ID146","ID146",146,0,0,0,6,6,0,20,7,0,0,0,0,0,0.153846153846154,0.153846153846154,0,0.512820512820513,0.179487179487179,0,0,0.512820512820513,20,"29",39,"die Palatschinke"
"ID147","ID147",147,0,0,0,6,3,0,33,11,0,0,0,0,0,0.113207547169811,0.0566037735849057,0,0.622641509433962,0.207547169811321,0,0,0.622641509433962,33,"29",53,"die Palatschinke"
"ID148","ID148",148,0,0,0,0,1,0,27,4,0,0,0,0,0,0,0.03125,0,0.84375,0.125,0,0,0.84375,27,"29",32,"die Palatschinke"
