"id","hexID","X152","X153","X154","X155","X156","X157","rel_152","rel_153","rel_154","rel_155","rel_156","rel_157","relMax","absMax","maxLevel","total","antwort"
"ID138","ID138",138,7,0,1,0,1,0,0.777777777777778,0,0.111111111111111,0,0.111111111111111,0,0.777777777777778,7,"152",9,"Portemonnaie/Portmonee"
"ID139","ID139",139,0,0,2,0,0,0,0,0,1,0,0,0,1,2,"154",2,"Geldtasche/-tasch(er)l"
"ID140","ID140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID141","ID141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID142","ID142",142,0,0,3,0,0,0,0,0,1,0,0,0,1,3,"154",3,"Geldtasche/-tasch(er)l"
"ID143","ID143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID144","ID144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID145","ID145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID146","ID146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID147","ID147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID148","ID148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID149","ID149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID150","ID150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID151","ID151",151,0,2,13,0,6,0,0,0.0952380952380952,0.619047619047619,0,0.285714285714286,0,0.619047619047619,13,"154",21,"Geldtasche/-tasch(er)l"
"ID152","ID152",152,0,8,28,2,5,0,0,0.186046511627907,0.651162790697674,0.0465116279069767,0.116279069767442,0,0.651162790697674,28,"154",43,"Geldtasche/-tasch(er)l"
