"id","hexID","X121","X122","X123","X124","X125","X127","X128","X129","X130","X131","X134","X135","X136","X139","X140","X141","X142","X143","X144","X9999","rel_121","rel_122","rel_123","rel_124","rel_125","rel_127","rel_128","rel_129","rel_130","rel_131","rel_134","rel_135","rel_136","rel_139","rel_140","rel_141","rel_142","rel_143","rel_144","rel_9999","relMax","absMax","maxLevel","total","antwort"
"ID58","ID58",58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,1,"121",3,"Schluckauf"
"ID59","ID59",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"140",1,"Schnackel"
"ID60","ID60",60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"121",1,"Schluckauf"
"ID61","ID61",61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"124",1,"Schluckiza"
"ID62","ID62",62,0,0,1,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0714285714285714,0,0,0,0,0.785714285714286,0,0,0.0714285714285714,0,0,0,0,0,0,0.785714285714286,11,"134",14,"Hitzgi"
"ID63","ID63",63,1,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0.0416666666666667,0,0,0,0,0.0416666666666667,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0.833333333333333,20,"134",24,"Hitzgi"
"ID64","ID64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID65","ID65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID66","ID66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID67","ID67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID68","ID68",68,8,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,23,0,0,0,0.222222222222222,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0.0833333333333333,0.0277777777777778,0,0.638888888888889,0,0,0,0.638888888888889,23,"142",36,"Schnackerl"
"ID69","ID69",69,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,8,0,0,0,0.352941176470588,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0.0588235294117647,0.0588235294117647,0,0.470588235294118,0,0,0,0.470588235294118,8,"142",17,"Schnackerl"
"ID70","ID70",70,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0.296296296296296,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0.62962962962963,0,0,0,0.62962962962963,17,"142",27,"Schnackerl"
"ID71","ID71",71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"144",1,"Gluggsi"
"ID72","ID72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID73","ID73",73,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,1,"121",4,"Schluckauf"
"ID74","ID74",74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,1,"122",2,"Schlucken"
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID76","ID76",76,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,1,"122",4,"Schlucken"
"ID77","ID77",77,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,1,"127",3,"Hickser"
"ID78","ID78",78,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0.894736842105263,0,0.894736842105263,17,"144",19,"Gluggsi"
"ID79","ID79",79,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0.0555555555555556,0,0,0,0,0.0555555555555556,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0.833333333333333,15,"144",18,"Gluggsi"
"ID80","ID80",80,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,77,1,0,0,0,0,0,0,0,0,0.0117647058823529,0,0.0588235294117647,0,0,0,0,0,0,0.0117647058823529,0.905882352941176,0.0117647058823529,0.905882352941176,77,"144",85,"Gluggsi"
"ID81","ID81",81,3,0,0,0,0,1,0,0,3,0,8,0,0,0,0,1,0,1,70,0,0.0344827586206897,0,0,0,0,0.0114942528735632,0,0,0.0344827586206897,0,0.0919540229885057,0,0,0,0,0.0114942528735632,0,0.0114942528735632,0.804597701149425,0,0.804597701149425,70,"144",87,"Gluggsi"
"ID82","ID82",82,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0.733333333333333,0,0.733333333333333,11,"144",15,"Gluggsi"
"ID83","ID83",83,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,4,0,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0,0.25,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.333333333333333,0,0.333333333333333,4,"144",12,"Gluggsi"
"ID84","ID84",84,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,2,"134",4,"Hitzgi"
"ID85","ID85",85,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.8,8,"134",10,"Hitzgi"
"ID86","ID86",86,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0.142857142857143,0,0,0,0,0.142857142857143,0,0,0.571428571428571,0,0,0,0,0,0,0,0.142857142857143,0,0.571428571428571,4,"134",7,"Hitzgi"
"ID87","ID87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID88","ID88",88,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,"121",2,"Schluckauf"
"ID89","ID89",89,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,0,0,0,0,0,0,0,0,0,0.8,4,"134",5,"Hitzgi"
"ID90","ID90",90,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,2,"134",3,"Hitzgi"
"ID91","ID91",91,2,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0.1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,6,"134",10,"Hitzgi"
"ID92","ID92",92,1,0,0,0,0,1,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0.0588235294117647,0,0.0588235294117647,0.0588235294117647,0,0.764705882352941,0,0,0,0,0,0,0,0,0,0.764705882352941,13,"134",17,"Hitzgi"
"ID93","ID93",93,1,1,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0.0434782608695652,0.0434782608695652,0,0,0,0,0,0.0434782608695652,0,0,0.869565217391304,0,0,0,0,0,0,0,0,0,0.869565217391304,20,"134",23,"Hitzgi"
"ID94","ID94",94,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0.846153846153846,0,0,0,0,0,0,0,0,0,0.846153846153846,11,"134",13,"Hitzgi"
"ID95","ID95",95,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,1,"121",3,"Schluckauf"
