"id","hexID","X47","X48","X49","X50","X51","X54","X55","X56","X57","X58","X59","X60","X61","X62","rel_47","rel_48","rel_49","rel_50","rel_51","rel_54","rel_55","rel_56","rel_57","rel_58","rel_59","rel_60","rel_61","rel_62","relMax","absMax","maxLevel","total","antwort"
"ID105","ID105",105,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0.5,2,"57",4,"Hacktätschli"
"ID106","ID106",106,3,0,0,0,1,0,0,0,17,4,1,0,0,4,0.1,0,0,0,0.0333333333333333,0,0,0,0.566666666666667,0.133333333333333,0.0333333333333333,0,0,0.133333333333333,0.566666666666667,17,"57",30,"Hacktätschli"
"ID107","ID107",107,0,0,0,1,0,0,0,0,12,9,0,0,0,3,0,0,0,0.04,0,0,0,0,0.48,0.36,0,0,0,0.12,0.48,12,"57",25,"Hacktätschli"
"ID108","ID108",108,2,0,0,0,0,0,1,0,10,4,0,0,0,4,0.0952380952380952,0,0,0,0,0,0.0476190476190476,0,0.476190476190476,0.19047619047619,0,0,0,0.19047619047619,0.476190476190476,10,"57",21,"Hacktätschli"
"ID109","ID109",109,3,2,0,0,0,0,1,0,5,4,0,0,0,5,0.15,0.1,0,0,0,0,0.05,0,0.25,0.2,0,0,0,0.25,0.25,5,"57",20,"Hacktätschli"
"ID110","ID110",110,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,1,"54",2,"Fleischla(i)be(r)l"
"ID111","ID111",111,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0,0.6,3,"57",5,"Hacktätschli"
"ID112","ID112",112,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667,2,"61",3,"Fleischkrapfe(rl)"
"ID113","ID113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID114","ID114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID115","ID115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID116","ID116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID117","ID117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
