"id","hexID","X73","X74","X75","X76","X77","X78","X79","X81","X82","rel_73","rel_74","rel_75","rel_76","rel_77","rel_78","rel_79","rel_81","rel_82","relMax","absMax","maxLevel","total","antwort"
"ID151","ID151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID152","ID152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID153","ID153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID154","ID154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID155","ID155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID156","ID156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID157","ID157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID158","ID158",158,1,0,2,0,30,0,0,0,0,0.0303030303030303,0,0.0606060606060606,0,0.909090909090909,0,0,0,0,0.909090909090909,30,"77",33,"Patschen"
"ID159","ID159",159,1,0,12,0,29,0,0,0,0,0.0238095238095238,0,0.285714285714286,0,0.69047619047619,0,0,0,0,0.69047619047619,29,"77",42,"Patschen"
"ID160","ID160",160,2,0,20,0,29,0,0,1,0,0.0384615384615385,0,0.384615384615385,0,0.557692307692308,0,0,0.0192307692307692,0,0.557692307692308,29,"77",52,"Patschen"
"ID161","ID161",161,4,1,25,0,48,0,0,4,0,0.0487804878048781,0.0121951219512195,0.304878048780488,0,0.585365853658537,0,0,0.0487804878048781,0,0.585365853658537,48,"77",82,"Patschen"
"ID162","ID162",162,0,0,10,0,18,0,1,0,0,0,0,0.344827586206897,0,0.620689655172414,0,0.0344827586206897,0,0,0.620689655172414,18,"77",29,"Patschen"
